Time,Weight (N)
2024-03-05 15:32:16,432.7
2024-03-05 15:32:16,448.8
2024-03-05 15:32:17,436.6
2024-03-05 15:32:17,420.1
2024-03-05 15:32:18,400.5
2024-03-05 15:32:18,380.9
2024-03-05 15:32:19,364.8
2024-03-05 15:32:19,345.1
2024-03-05 15:32:20,328.8
2024-03-05 15:32:20,309.3
2024-03-05 15:32:21,293.2
2024-03-05 15:32:21,274.0
2024-03-05 15:32:22,257.6
2024-03-05 15:32:22,238.4
2024-03-05 15:32:23,222.2
2024-03-05 15:32:23,202.8
2024-03-05 15:32:24,187.0
2024-03-05 15:32:24,167.7
2024-03-05 15:32:25,151.8
2024-03-05 15:32:25,132.7
2024-03-05 15:32:26,116.9
2024-03-05 15:32:26,98.2
2024-03-05 15:32:27,82.3
2024-03-05 15:32:27,64.0
2024-03-05 15:32:28,48.9
2024-03-05 15:32:28,31.2
2024-03-05 15:32:29,17.1
2024-03-05 15:32:29,3.0
2024-03-05 15:32:30,19.4
2024-03-05 15:32:30,37.4
2024-03-05 15:32:31,52.6
2024-03-05 15:32:31,70.8
2024-03-05 15:32:32,86.6
2024-03-05 15:32:32,105.4
2024-03-05 15:32:33,121.2
2024-03-05 15:32:33,140.6
2024-03-05 15:32:34,156.1
2024-03-05 15:32:34,175.3
2024-03-05 15:32:35,191.4
2024-03-05 15:32:35,210.4
2024-03-05 15:32:36,226.5
2024-03-05 15:32:36,245.5
2024-03-05 15:32:37,261.6
2024-03-05 15:32:37,280.8
2024-03-05 15:32:38,300.1
2024-03-05 15:32:38,316.3
2024-03-05 15:32:39,335.4
2024-03-05 15:32:39,351.4
2024-03-05 15:32:40,370.5
2024-03-05 15:32:40,386.6
2024-03-05 15:32:41,405.8
2024-03-05 15:32:41,421.6
2024-03-05 15:32:42,441.0
2024-03-05 15:32:42,448.3
2024-03-05 15:32:43,426.6
2024-03-05 15:32:43,410.1
2024-03-05 15:32:44,390.7
2024-03-05 15:32:44,374.1
2024-03-05 15:32:45,354.6
