Time,Weight (N)
2024-03-05 15:22:11,263.1
2024-03-05 15:22:11,244.2
2024-03-05 15:22:12,228.7
2024-03-05 15:22:12,210.1
2024-03-05 15:22:13,194.4
2024-03-05 15:22:13,176.0
2024-03-05 15:22:14,160.5
2024-03-05 15:22:14,142.0
2024-03-05 15:22:15,126.9
2024-03-05 15:22:15,108.5
2024-03-05 15:22:16,93.2
2024-03-05 15:22:16,75.1
2024-03-05 15:22:17,60.3
2024-03-05 15:22:17,42.7
2024-03-05 15:22:18,28.1
2024-03-05 15:22:18,11.7
2024-03-05 15:22:19,6.2
2024-03-05 15:22:19,25.9
2024-03-05 15:22:20,40.8
2024-03-05 15:22:20,59.3
2024-03-05 15:22:21,74.3
2024-03-05 15:22:21,92.7
2024-03-05 15:22:22,108.1
2024-03-05 15:22:22,126.1
2024-03-05 15:22:23,141.4
2024-03-05 15:22:23,159.6
2024-03-05 15:22:24,175.0
2024-03-05 15:22:24,193.4
2024-03-05 15:22:25,208.4
2024-03-05 15:22:25,227.0
2024-03-05 15:22:26,242.3
2024-03-05 15:22:26,260.7
2024-03-05 15:22:27,276.4
2024-03-05 15:22:27,294.7
2024-03-05 15:22:28,310.3
2024-03-05 15:22:28,328.7
2024-03-05 15:22:29,344.4
2024-03-05 15:22:29,363.2
2024-03-05 15:22:30,378.6
2024-03-05 15:22:30,397.5
2024-03-05 15:22:31,416.1
2024-03-05 15:22:31,431.7
2024-03-05 15:22:32,450.0
2024-03-05 15:22:32,436.5
2024-03-05 15:22:33,417.3
2024-03-05 15:22:33,401.3
2024-03-05 15:22:34,382.3
2024-03-05 15:22:34,366.4
2024-03-05 15:22:35,347.5
2024-03-05 15:22:35,331.4
2024-03-05 15:22:36,312.5
2024-03-05 15:22:36,297.1
2024-03-05 15:22:37,277.9
2024-03-05 15:22:37,262.3
2024-03-05 15:22:38,243.4
2024-03-05 15:22:38,227.8
2024-03-05 15:22:39,209.2
2024-03-05 15:22:39,193.6
2024-03-05 15:22:40,175.2
2024-03-05 15:22:40,159.6
2024-03-05 15:22:41,141.1
2024-03-05 15:22:41,126.0
2024-03-05 15:22:42,107.6
2024-03-05 15:22:42,92.4
2024-03-05 15:22:43,74.2
2024-03-05 15:22:43,59.4
2024-03-05 15:22:44,41.7
2024-03-05 15:22:44,27.2
2024-03-05 15:22:45,10.8
2024-03-05 15:22:45,6.8
2024-03-05 15:22:46,26.1
2024-03-05 15:22:46,41.2
2024-03-05 15:22:47,59.7
2024-03-05 15:22:47,74.6
2024-03-05 15:22:48,93.0
2024-03-05 15:22:48,108.5
2024-03-05 15:22:49,126.6
2024-03-05 15:22:49,141.9
2024-03-05 15:22:50,160.1
2024-03-05 15:22:50,178.7
2024-03-05 15:22:51,193.9
2024-03-05 15:22:51,212.1
2024-03-05 15:22:52,227.7
2024-03-05 15:22:52,246.0
2024-03-05 15:22:53,261.3
2024-03-05 15:22:53,279.7
2024-03-05 15:22:54,295.4
2024-03-05 15:22:54,314.1
2024-03-05 15:22:55,329.4
2024-03-05 15:22:55,348.2
2024-03-05 15:22:56,363.7
2024-03-05 15:22:56,382.5
2024-03-05 15:22:57,398.2
2024-03-05 15:22:57,416.8
2024-03-05 15:22:58,432.4
2024-03-05 15:22:58,450.4
2024-03-05 15:22:59,436.4
2024-03-05 15:22:59,417.1
2024-03-05 15:23:00,401.2
2024-03-05 15:23:00,382.1
2024-03-05 15:23:01,366.2
2024-03-05 15:23:01,347.3
2024-03-05 15:23:02,331.3
2024-03-05 15:23:02,312.3
2024-03-05 15:23:03,296.9
2024-03-05 15:23:03,277.7
2024-03-05 15:23:04,262.1
2024-03-05 15:23:04,243.2
2024-03-05 15:23:05,227.6
2024-03-05 15:23:05,209.0
2024-03-05 15:23:06,193.4
2024-03-05 15:23:06,175.0
2024-03-05 15:23:07,159.4
2024-03-05 15:23:07,140.9
2024-03-05 15:23:08,125.8
2024-03-05 15:23:08,107.4
2024-03-05 15:23:09,92.1
2024-03-05 15:23:09,74.0
2024-03-05 15:23:10,59.1
2024-03-05 15:23:10,41.5
2024-03-05 15:23:11,24.1
2024-03-05 15:23:11,10.5
2024-03-05 15:23:12,2.4
2024-03-05 15:23:12,3.2
2024-03-05 15:23:13,3.4
2024-03-05 15:23:13,3.4
2024-03-05 15:23:14,3.5
2024-03-05 15:23:14,3.5
2024-03-05 15:23:15,3.5
2024-03-05 15:23:15,3.6
2024-03-05 15:23:16,3.6
2024-03-05 15:23:16,3.6
