Time,Weight (N)
2024-03-05 15:09:01,361.1
2024-03-05 15:09:01,376.6
2024-03-05 15:09:02,395.8
2024-03-05 15:09:02,411.5
2024-03-05 15:09:03,430.4
2024-03-05 15:09:03,446.4
2024-03-05 15:09:04,440.8
2024-03-05 15:09:04,424.4
2024-03-05 15:09:05,405.0
2024-03-05 15:09:05,388.9
2024-03-05 15:09:06,369.7
2024-03-05 15:09:06,353.4
2024-03-05 15:09:07,334.2
2024-03-05 15:09:07,318.4
2024-03-05 15:09:08,299.1
2024-03-05 15:09:08,283.1
2024-03-05 15:09:09,263.9
2024-03-05 15:09:09,248.0
2024-03-05 15:09:10,229.0
2024-03-05 15:09:10,213.1
2024-03-05 15:09:11,194.3
2024-03-05 15:09:11,178.3
2024-03-05 15:09:12,159.5
2024-03-05 15:09:12,140.5
2024-03-05 15:09:13,125.1
2024-03-05 15:09:13,106.5
2024-03-05 15:09:14,90.8
2024-03-05 15:09:14,72.5
2024-03-05 15:09:15,57.2
2024-03-05 15:09:15,39.1
2024-03-05 15:09:16,24.7
2024-03-05 15:09:16,8.0
2024-03-05 15:09:17,11.8
2024-03-05 15:09:17,30.4
2024-03-05 15:09:18,45.9
2024-03-05 15:09:18,64.5
2024-03-05 15:09:19,79.8
2024-03-05 15:09:19,98.7
2024-03-05 15:09:20,114.4
2024-03-05 15:09:20,133.2
2024-03-05 15:09:21,149.1
2024-03-05 15:09:21,167.7
2024-03-05 15:09:22,183.4
2024-03-05 15:09:22,202.2
2024-03-05 15:09:23,218.0
2024-03-05 15:09:23,236.9
2024-03-05 15:09:24,252.2
2024-03-05 15:09:24,271.1
2024-03-05 15:09:25,286.6
2024-03-05 15:09:25,305.5
2024-03-05 15:09:26,321.3
2024-03-05 15:09:26,340.0
2024-03-05 15:09:27,355.7
2024-03-05 15:09:27,374.6
2024-03-05 15:09:28,390.5
2024-03-05 15:09:28,409.6
2024-03-05 15:09:29,425.1
2024-03-05 15:09:29,444.3
2024-03-05 15:09:30,447.0
2024-03-05 15:09:30,426.3
2024-03-05 15:09:31,410.0
2024-03-05 15:09:31,390.6
2024-03-05 15:09:32,371.4
2024-03-05 15:09:32,355.4
2024-03-05 15:09:33,336.0
2024-03-05 15:09:33,320.2
2024-03-05 15:09:34,300.8
2024-03-05 15:09:34,284.8
2024-03-05 15:09:35,265.7
2024-03-05 15:09:35,249.8
2024-03-05 15:09:36,231.0
