Time ,Time (s),Force (N),Load Cell,Pre Time (s),Time (s),Force (N),Instron,,,
,,,,87.794,80.446,149.2572,,,,
,,,,87.946,80.598,144.235,,,,
,,,,88.104,80.756,139.1752,,,,
,,,,88.272,80.924,134.0498,,,,
,,,,88.418,81.07,129.0436,,,,
,,,,88.59,81.242,123.9801,,,,
,,,,88.746,81.398,118.9459,,,,
,,,,88.86,81.512,113.9082,,,,
,,,,89.02,81.672,108.8911,,,,
,,,,89.17,81.822,103.8798,,,,
,,,,89.342,81.994,98.8182,,,,
,,,,89.512,82.164,93.7297,,,,
,,,,89.676,82.328,88.6818,,,,
,,,,89.842,82.494,83.5898,,,,
,,,,90.018,82.67,78.576,,,,
,,,,90.186,82.838,73.5626,,,,
,,,,90.364,83.016,68.5325,,,,
,,,,90.524,83.176,63.4872,,,,
,,,,90.68,83.332,58.4779,,,,
,,,,90.886,83.538,53.4656,,,,
,,,,91.054,83.706,48.4533,,,,
,,,,91.254,83.906,43.4177,,,,
,,,,91.394,84.046,38.4101,,,,
,,,,91.606,84.258,33.4084,,,,
,,,,91.798,84.45,28.369,,,,
,,,,91.97,84.622,23.3348,,,,
,,,,92.148,84.8,18.288,,,,
,,,,92.306,84.958,13.2645,,,,
,,,,92.49,85.142,8.2394,,,,
,,,,92.584,85.236,4.9982,,,,
,,,,92.586,85.238,4.9243,,,,
,,,,92.636,85.288,4.1377,,,,
,,,,92.878,85.53,9.1386,,,,
,,,,93.014,85.666,14.2607,,,,
,,,,93.172,85.824,19.2858,,,,
,,,,93.332,85.984,24.3024,,,,
,,,,93.512,86.164,29.3427,,,,
,,,,93.658,86.31,34.3755,,,,
,,,,93.824,86.476,39.422,,,,
,,,,93.952,86.604,44.4614,,,,
,,,,94.142,86.794,49.4715,,,,
,,,,94.296,86.948,54.4923,,,,
,,,,94.446,87.098,59.4968,,,,
,,,,94.62,87.272,64.5498,,,,
,,,,94.778,87.43,69.5557,,,,
,,,,94.956,87.608,74.5843,,,,
,,,,95.122,87.774,79.647,,,,
,,,,95.278,87.93,84.6507,,,,
,,,,95.432,88.084,89.6903,,,,
,,,,95.604,88.256,94.706,,,,
,,,,95.732,88.384,99.7567,,,,
,,,,95.912,88.564,104.779,,,,
,,,,96.052,88.704,109.885,,,,
,,,,96.214,88.866,114.9317,,,,
,,,,96.392,89.044,119.9948,,,,
,,,,96.536,89.188,125.0563,,,,
,,,,96.714,89.366,130.091,,,,
,,,,96.826,89.478,135.1266,,,,
,,,,97.012,89.664,140.1386,,,,
,,,,97.15,89.802,145.2005,,,,
,,,,97.3,89.952,150.2603,,,,
,,,,97.474,90.126,155.3436,,,,
,,,,97.624,90.276,160.4166,,,,
,,,,97.802,90.454,165.4868,,,,
,,,,97.958,90.61,170.5357,,,,
,,,,98.08,90.732,175.5671,,,,
,,,,98.224,90.876,180.5982,,,,
,,,,98.374,91.026,185.6271,,,,
,,,,98.546,91.198,190.6547,,,,
,,,,98.704,91.356,195.6716,,,,
,,,,98.856,91.508,200.6773,,,,
,,,,99.016,91.668,205.7167,,,,
,,,,99.154,91.806,210.7177,,,,
,,,,99.288,91.94,215.7375,,,,
,,,,99.438,92.09,220.82,,,,
,,,,99.598,92.25,225.8368,,,,
,,,,99.754,92.406,230.8419,,,,
,,,,99.91,92.562,235.8431,,,,
,,,,100.048,92.7,240.8879,,,,
,,,,100.172,92.824,245.9667,,,,
,,,,100.338,92.99,251.0096,,,,
,,,,100.488,93.14,256.1161,,,,
,,,,100.664,93.316,261.1369,,,,
,,,,100.796,93.448,266.1654,,,,
,,,,100.916,93.568,271.2052,,,,
,,,,101.068,93.72,276.229,,,,
,,,,101.214,93.866,281.2705,,,,
,,,,101.394,94.046,286.399,,,,
,,,,101.526,94.178,291.4216,,,,
,,,,101.688,94.34,296.4402,,,,
,,,,101.818,94.47,301.4534,,,,
,,,,101.946,94.598,306.531,,,,
,,,,102.118,94.77,311.5832,,,,
,,,,102.252,94.904,316.5937,,,,
,,,,102.414,95.066,321.5954,,,,
,,,,102.562,95.214,326.6113,,,,
,,,,102.676,95.328,331.6728,,,,
,,,,102.838,95.49,336.6858,,,,
,,,,102.984,95.636,341.6954,,,,
,,,,103.148,95.8,346.7004,,,,
,,,,103.302,95.954,351.7571,,,,
,,,,103.402,96.054,356.7781,,,,
,,,,103.564,96.216,361.7925,,,,
,,,,103.702,96.354,366.8181,,,,
,,,,103.87,96.522,371.8488,,,,
,,,,104.02,96.672,376.8535,,,,
,,,,104.122,96.774,381.8608,,,,
,,,,104.284,96.936,386.8734,,,,
,,,,104.422,97.074,391.9201,,,,
,,,,104.6,97.252,396.9841,,,,
,,,,104.746,97.398,402.0584,,,,
,,,,104.866,97.518,407.0718,,,,
,,,,105.004,97.656,412.1489,,,,
,,,,105.146,97.798,417.1768,,,,
,,,,105.318,97.97,422.2372,,,,
,,,,105.466,98.118,427.2607,,,,
,,,,105.606,98.258,432.2978,,,,
,,,,105.724,98.376,437.3599,,,,
,,,,105.882,98.534,442.4058,,,,
,,,,106.04,98.692,447.5177,,,,
,,,,106.082,98.734,450.0422,,,,
,,,,106.084,98.736,450.0971,,,,
,,,,106.138,98.79,450.703,,,,
,,,,106.384,99.036,445.5935,,,,
,,,,106.522,99.174,440.5176,,,,
,,,,106.624,99.276,435.4959,,,,
,,,,106.756,99.408,430.4491,,,,
,,,,106.906,99.558,425.3661,,,,
,,,,107.054,99.706,420.2689,,,,
,,,,107.222,99.874,415.2015,,,,
,,,,107.32,99.972,410.198,,,,
,,,,107.474,100.126,405.1657,,,,
,,,,107.614,100.266,400.1391,,,,
,,,,107.764,100.416,395.0739,,,,
,,,,107.926,100.578,390.0337,,,,
,,,,108.016,100.668,384.9873,,,,
,,,,108.174,100.826,379.9644,,,,
,,,,108.322,100.974,374.9262,,,,
,,,,108.474,101.126,369.9156,,,,
,,,,108.628,101.28,364.8628,,,,
,,,,108.73,101.382,359.8438,,,,
,,,,108.882,101.534,354.8415,,,,
,,,,109.038,101.69,349.8396,,,,
,,,,109.18,101.832,344.8097,,,,
,,,,109.334,101.986,339.7303,,,,
,,,,109.432,102.084,334.7072,,,,
,,,,109.588,102.24,329.6613,,,,
,,,,109.752,102.404,324.5242,,,,
,,,,109.894,102.546,319.4784,,,,
,,,,110.048,102.7,314.4478,,,,
,,,,110.16,102.812,309.4252,,,,
,,,,110.312,102.964,304.4124,,,,
,,,,110.464,103.116,299.3482,,,,
,,,,110.608,103.26,294.3028,,,,
,,,,110.756,103.408,289.2693,,,,
,,,,110.876,103.528,284.2507,,,,
,,,,111.02,103.672,279.2129,,,,
,,,,111.178,103.83,274.1244,,,,
,,,,111.33,103.982,269.0698,,,,
,,,,111.478,104.13,264.0565,,,,
,,,,111.64,104.292,259.0114,,,,
,,,,111.736,104.388,253.9391,,,,
,,,,111.898,104.55,248.8764,,,,
,,,,112.048,104.7,243.8376,,,,
,,,,112.196,104.848,238.8062,,,,
,,,,112.35,105.002,233.7724,,,,
,,,,112.45,105.102,228.7299,,,,
,,,,112.618,105.27,223.6846,,,,
,,,,112.768,105.42,218.6104,,,,
,,,,112.93,105.582,213.5898,,,,
,,,,113.076,105.728,208.5695,,,,
,,,,113.188,105.84,203.543,,,,
,,,,113.34,105.992,198.5251,,,,
,,,,113.494,106.146,193.46,,,,
,,,,113.652,106.304,188.3955,,,,
,,,,113.802,106.454,183.3301,,,,
,,,,113.934,106.586,178.2946,,,,
,,,,114.068,106.72,173.2371,,,,
,,,,114.23,106.882,168.2237,,,,
,,,,114.382,107.034,163.1701,,,,
,,,,114.546,107.198,158.0605,,,,
,,,,114.68,107.332,153.0256,,,,
,,,,114.836,107.488,147.993,,,,
,,,,114.978,107.63,142.9736,,,,
,,,,115.114,107.766,137.9072,,,,
,,,,115.276,107.928,132.8152,,,,
,,,,115.432,108.084,127.7906,,,,
,,,,115.6,108.252,122.7501,,,,
,,,,115.752,108.404,117.6758,,,,
,,,,115.878,108.53,112.6717,,,,
,,,,116.026,108.678,107.6167,,,,
,,,,116.2,108.852,102.6048,,,,
,,,,116.352,109.004,97.5649,,,,
,,,,116.522,109.174,92.4633,,,,
,,,,116.684,109.336,87.3909,,,,
,,,,116.852,109.504,82.3505,,,,
,,,,117.04,109.692,77.3114,,,,
,,,,117.19,109.842,72.2873,,,,
,,,,117.376,110.028,67.2809,,,,
,,,,117.54,110.192,62.2465,,,,
,,,,117.73,110.382,57.2375,,,,
,,,,117.924,110.576,52.185,,,,
,,,,118.068,110.72,47.1409,,,,
,,,,118.268,110.92,42.1382,,,,
,,,,118.426,111.078,37.1331,,,,
,,,,118.628,111.28,32.1102,,,,
,,,,118.812,111.464,27.1031,,,,
,,,,118.982,111.634,22.0802,,,,
,,,,119.16,111.812,17.0686,,,,
,,,,119.358,112.01,12.0265,,,,
,,,,119.526,112.178,6.9997,,,,
,,,,119.568,112.22,4.9564,,,,
,,,,119.57,112.222,4.8633,,,,
,,,,119.638,112.29,3.7562,,,,
,,,,119.89,112.542,8.8222,,,,
,,,,120.028,112.68,13.8823,,,,
,,,,120.184,112.836,18.9145,,,,
,,,,120.344,112.996,23.9268,,,,
,,,,120.518,113.17,28.9522,,,,
,,,,120.676,113.328,33.9595,,,,
,,,,120.85,113.502,39.0252,,,,
,,,,120.988,113.64,44.0272,,,,
,,,,121.158,113.81,49.0397,,,,
,,,,121.326,113.978,54.046,,,,
,,,,121.466,114.118,59.0574,,,,
,,,,121.634,114.286,64.0987,,,,
,,,,121.788,114.44,69.1234,,,,
,,,,121.97,114.622,74.2101,,,,
,,,,122.132,114.784,79.2204,,,,
,,,,122.304,114.956,84.3163,,,,
,,,,122.46,115.112,89.34,,,,
,,,,122.628,115.28,94.3511,,,,
,,,,122.782,115.434,99.3662,,,,
,,,,122.956,115.608,104.3718,,,,
,,,,123.068,115.72,109.4684,,,,
,,,,123.226,115.878,114.54,,,,
,,,,123.402,116.054,119.5945,,,,
,,,,123.55,116.202,124.6284,,,,
,,,,123.736,116.388,129.7322,,,,
,,,,123.864,116.516,134.7818,,,,
,,,,124.044,116.696,139.7924,,,,
,,,,124.184,116.836,144.807,,,,
,,,,124.32,116.972,149.8685,,,,
,,,,124.488,117.14,154.9135,,,,
,,,,124.632,117.284,159.9661,,,,
,,,,124.81,117.462,164.9825,,,,
,,,,124.966,117.618,170.0104,,,,
,,,,125.11,117.762,175.0623,,,,
,,,,125.248,117.9,180.0664,,,,
,,,,125.382,118.034,185.0882,,,,
,,,,125.556,118.208,190.1381,,,,
,,,,125.714,118.366,195.1847,,,,
,,,,125.872,118.524,200.1878,,,,
,,,,126.032,118.684,205.2232,,,,
,,,,126.144,118.796,210.2366,,,,
,,,,126.302,118.954,215.2462,,,,
,,,,126.45,119.102,220.3273,,,,
,,,,126.608,119.26,225.3497,,,,
,,,,126.766,119.418,230.3878,,,,
,,,,126.918,119.57,235.4231,,,,
,,,,127.074,119.726,240.4234,,,,
,,,,127.198,119.85,245.4773,,,,
,,,,127.344,119.996,250.5155,,,,
,,,,127.494,120.146,255.5529,,,,
,,,,127.668,120.32,260.5895,,,,
,,,,127.81,120.462,265.6076,,,,
,,,,127.942,120.594,270.6334,,,,
,,,,128.074,120.726,275.7216,,,,
,,,,128.222,120.874,280.8094,,,,
,,,,128.402,121.054,285.9261,,,,
,,,,128.54,121.192,290.9789,,,,
,,,,128.706,121.358,296.0511,,,,
,,,,128.822,121.474,301.0683,,,,
,,,,128.958,121.61,306.0963,,,,
,,,,129.126,121.778,311.109,,,,
,,,,129.262,121.914,316.1213,,,,
,,,,129.428,122.08,321.1667,,,,
,,,,129.56,122.212,326.1812,,,,
,,,,129.696,122.348,331.203,,,,
,,,,129.848,122.5,336.3022,,,,
,,,,129.992,122.644,341.3662,,,,
,,,,130.16,122.812,346.3821,,,,
,,,,130.316,122.968,351.4214,,,,
,,,,130.434,123.086,356.4589,,,,
,,,,130.576,123.228,361.5323,,,,
,,,,130.712,123.364,366.6186,,,,
,,,,130.882,123.534,371.6834,,,,
,,,,131.038,123.69,376.776,,,,
,,,,131.162,123.814,381.8006,,,,
,,,,131.306,123.958,386.8454,,,,
,,,,131.434,124.086,391.8563,,,,
,,,,131.612,124.264,396.916,,,,
,,,,131.76,124.412,401.9996,,,,
,,,,131.896,124.548,407.0031,,,,
,,,,132.026,124.678,412.0185,,,,
,,,,132.156,124.808,417.0759,,,,
,,,,132.328,124.98,422.0802,,,,
,,,,132.478,125.13,427.117,,,,
,,,,132.624,125.276,432.1291,,,,
,,,,132.74,125.392,437.1585,,,,
,,,,132.898,125.55,442.1957,,,,
,,,,133.048,125.7,447.2684,,,,
,,,,133.102,125.754,450.0132,,,,
,,,,133.104,125.756,450.0494,,,,
,,,,133.192,125.844,451.854,,,,
,,,,133.426,126.078,446.8521,,,,
,,,,133.532,126.184,441.8274,,,,
,,,,133.672,126.324,436.752,,,,
,,,,133.82,126.472,431.6973,,,,
,,,,133.978,126.63,426.6239,,,,
,,,,134.116,126.768,421.5747,,,,
,,,,134.276,126.928,416.567,,,,
,,,,134.376,127.028,411.5115,,,,
,,,,134.532,127.184,406.4814,,,,
,,,,134.68,127.332,401.4641,,,,
,,,,134.804,127.456,396.4411,,,,
,,,,134.972,127.624,391.4086,,,,
,,,,135.08,127.732,386.4075,,,,
,,,,135.24,127.892,381.312,,,,
,,,,135.388,128.04,376.2274,,,,
,,,,135.538,128.19,371.2239,,,,
,,,,135.678,128.33,366.209,,,,
,,,,135.794,128.446,361.118,,,,
,,,,135.95,128.602,356.0043,,,,
,,,,136.092,128.744,350.9527,,,,
,,,,136.238,128.89,345.9388,,,,
,,,,136.376,129.028,340.9239,,,,
,,,,136.506,129.158,335.8774,,,,
,,,,136.662,129.314,330.7705,,,,
,,,,136.826,129.478,325.7319,,,,
,,,,136.954,129.606,320.727,,,,
,,,,137.098,129.75,315.6833,,,,
,,,,137.218,129.87,310.6042,,,,
,,,,137.376,130.028,305.6004,,,,
,,,,137.536,130.188,300.5466,,,,
,,,,137.652,130.304,295.5405,,,,
,,,,137.794,130.446,290.4887,,,,
,,,,137.93,130.582,285.4828,,,,
,,,,138.094,130.746,280.4787,,,,
,,,,138.25,130.902,275.416,,,,
,,,,138.382,131.034,270.399,,,,
,,,,138.506,131.158,265.3965,,,,
,,,,138.648,131.3,260.3794,,,,
,,,,138.808,131.46,255.3043,,,,
,,,,138.964,131.616,250.2773,,,,
,,,,139.092,131.744,245.2341,,,,
,,,,139.22,131.872,240.1767,,,,
,,,,139.376,132.028,235.1311,,,,
,,,,139.524,132.176,229.9976,,,,
,,,,139.694,132.346,224.9333,,,,
,,,,139.822,132.474,219.8824,,,,
,,,,139.966,132.618,214.8626,,,,
,,,,140.104,132.756,209.8143,,,,
,,,,140.244,132.896,204.7207,,,,
,,,,140.414,133.066,199.6787,,,,
,,,,140.546,133.198,194.6704,,,,
,,,,140.702,133.354,189.6651,,,,
,,,,140.826,133.478,184.6017,,,,
,,,,140.974,133.626,179.52,,,,
,,,,141.14,133.792,174.4406,,,,
,,,,141.292,133.944,169.428,,,,
,,,,141.45,134.102,164.375,,,,
,,,,141.6,134.252,159.3538,,,,
,,,,141.702,134.354,154.3444,,,,
,,,,141.868,134.52,149.3159,,,,
,,,,142.024,134.676,144.2537,,,,
,,,,142.184,134.836,139.1945,,,,
,,,,142.348,135,134.1744,,,,
,,,,142.47,135.122,129.1384,,,,
,,,,142.62,135.272,124.1361,,,,
,,,,142.77,135.422,119.109,,,,
,,,,142.932,135.584,114.0553,,,,
,,,,143.092,135.744,108.921,,,,
,,,,143.24,135.892,103.9069,,,,
,,,,143.414,136.066,98.8703,,,,
,,,,143.576,136.228,93.8617,,,,
,,,,143.716,136.368,88.8365,,,,
,,,,143.872,136.524,83.7991,,,,
,,,,144.032,136.684,78.7658,,,,
,,,,144.208,136.86,73.7518,,,,
,,,,144.384,137.036,68.743,,,,
,,,,144.548,137.2,63.7114,,,,
,,,,144.728,137.38,58.6215,,,,
,,,,144.906,137.558,53.5801,,,,
,,,,145.086,137.738,48.5542,,,,
,,,,145.28,137.932,43.5419,,,,
,,,,145.446,138.098,38.4813,,,,
,,,,145.636,138.288,33.4254,,,,
,,,,145.822,138.474,28.4235,,,,
,,,,145.996,138.648,23.4173,,,,
,,,,146.174,138.826,18.372,,,,
,,,,146.336,138.988,13.3628,,,,
,,,,146.52,139.172,8.3574,,,,
,,,,146.66,139.312,4.9768,,,,
