Time ,Time (s),Force (N),Load Cell,Pre Time (s),Time (s),Force (N),Instron,,,
49:29,53.00,268.1,,26.768,19.42,382.782,,,,
49:29,53.00,248.9,,26.874,19.526,377.6976,,,,
49:30,54.00,233.1,,27.026,19.678,372.6225,,,,
49:30,54.00,214.3,,27.182,19.834,367.575,,,,
49:31,55.00,198.6,,27.308,19.96,362.5672,,,,
49:31,55.00,180.1,,27.468,20.12,357.5516,,,,
49:32,56.00,164.4,,27.58,20.232,352.4444,,,,
49:32,56.00,146,,27.738,20.39,347.3573,,,,
49:33,57.00,131.1,,27.896,20.548,342.3288,,,,
49:33,57.00,112.9,,28.04,20.692,337.3051,,,,
49:34,58.00,98.4,,28.174,20.826,332.3027,,,,
49:34,58.00,81.4,,28.298,20.95,327.2026,,,,
49:35,59.00,68,,28.452,21.104,322.1527,,,,
49:35,59.00,52.6,,28.616,21.268,317.1257,,,,
49:36,60.00,37.4,,28.742,21.394,312.1028,,,,
49:36,60.00,24.9,,28.88,21.532,307.0851,,,,
49:37,61.00,9.7,,29.01,21.662,301.9664,,,,
49:37,61.00,8.9,,29.164,21.816,296.9355,,,,
49:38,62.00,27.1,,29.338,21.99,291.814,,,,
49:38,62.00,41.2,,29.454,22.106,286.7847,,,,
49:39,63.00,58.2,,29.61,22.262,281.7826,,,,
49:39,63.00,72.5,,29.728,22.38,276.7782,,,,
49:40,64.00,89.5,,29.886,22.538,271.6905,,,,
49:40,64.00,103.8,,30.05,22.702,266.6332,,,,
49:41,65.00,121,,30.17,22.822,261.5925,,,,
49:41,65.00,135.8,,30.326,22.978,256.552,,,,
49:42,66.00,153.4,,30.446,23.098,251.5145,,,,
49:42,66.00,168.1,,30.61,23.262,246.4707,,,,
49:43,67.00,186.1,,30.768,23.42,241.3631,,,,
49:43,67.00,201,,30.912,23.564,236.3032,,,,
49:44,68.00,219.2,,31.064,23.716,231.2884,,,,
49:44,68.00,234.6,,31.19,23.842,226.2679,,,,
49:45,69.00,253,,31.326,23.978,221.2395,,,,
49:45,69.00,268.4,,31.488,24.14,216.1989,,,,
49:46,70.00,286.8,,31.634,24.286,211.1708,,,,
49:46,70.00,302.6,,31.786,24.438,206.139,,,,
49:47,71.00,321.3,,31.922,24.574,201.123,,,,
49:47,71.00,336.7,,32.05,24.702,196.0885,,,,
49:48,72.00,355.7,,32.216,24.868,191.0526,,,,
49:48,72.00,371.3,,32.366,25.018,186.0024,,,,
49:49,73.00,390.2,,32.528,25.18,180.9661,,,,
